PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
24358,2,24356,2014-11-07T16:36:09.233,4,,5538,,2014-11-07T17:57:20.697,2014-11-07T17:57:20.697,1,
24565,2,11631,2014-11-21T01:24:17.227,24,,11900,,2016-03-06T05:38:27.443,2016-03-06T05:38:27.443,9,
24618,2,24617,2014-11-23T16:00:15.897,1,,5538,,2014-11-23T16:26:16.310,2014-11-23T16:26:16.310,0,
24627,2,24624,2014-11-24T07:19:03.663,2,,13650,,2014-11-24T09:22:32.863,2018-12-17T19:02:24.963,5,
24697,2,1601,2014-11-27T05:27:06.617,2,,10152,,2014-11-27T05:51:18.077,2014-11-27T05:51:18.077,0,
24753,2,24752,2014-11-30T21:34:59.217,6,,5538,,2015-08-02T17:37:55.270,2015-08-02T17:37:55.270,1,
24870,2,15453,2014-12-07T06:51:24.120,0,,20710,,2014-12-08T10:59:54.560,2014-12-08T10:59:54.560,2,
24890,2,24806,2014-12-08T17:16:51.230,2,,13650,,2015-02-11T19:50:16.303,2018-12-17T19:02:24.963,20,
25980,2,25979,2014-12-13T11:28:46.493,1,,13650,,2014-12-13T11:28:46.493,,3,
26004,2,12578,2014-12-14T13:46:15.000,3,,24233,,2014-12-15T17:24:34.653,2014-12-15T17:24:34.653,0,
26012,2,26010,2014-12-14T16:26:40.440,0,,13650,,2014-12-14T16:26:40.440,,5,
26217,2,26216,2014-12-23T02:44:40.883,5,,13650,,2014-12-24T09:24:02.593,2014-12-24T09:24:02.593,19,
26226,2,26222,2014-12-23T13:37:15.570,1,,13350,,2014-12-24T10:38:43.790,2014-12-24T10:38:43.790,3,
26428,2,12849,2015-01-01T02:32:31.980,1,,430,,2015-01-01T02:59:03.313,2017-04-13T12:56:23.120,0,
26500,2,9642,2015-01-04T00:56:58.963,0,,24767,,2015-01-04T00:56:58.963,,0,
26646,2,26645,2015-01-08T19:54:23.177,1,,24306,,2015-05-10T13:18:37.707,2015-05-10T13:18:37.707,1,
26746,2,26714,2015-01-11T23:25:15.430,23,,12729,,2016-02-19T18:33:28.533,2016-02-19T18:33:28.533,2,
26763,2,22712,2015-01-12T17:35:16.717,2,,26023,,2015-01-12T21:21:32.470,2015-01-12T21:21:32.470,1,
27090,2,26985,2015-01-25T19:22:12.113,1,,19540,,2015-01-25T19:30:59.530,2015-01-25T19:30:59.530,0,
27352,2,14611,2015-02-04T21:50:22.453,13,,26664,,2019-01-01T15:30:41.823,2019-01-01T15:30:41.823,4,
27361,2,27358,2015-02-05T05:02:56.953,5,,26163,,2015-02-05T16:50:39.797,2015-02-05T16:50:39.797,0,
27560,2,8544,2015-02-11T15:24:14.157,1,,26858,,2018-10-03T07:08:24.967,2018-10-03T07:08:24.967,0,
27594,2,27589,2015-02-12T16:38:34.887,0,,5538,,2015-02-12T16:53:41.307,2015-02-12T16:53:41.307,2,
27689,2,27676,2015-02-14T17:54:18.437,10,,26163,,2020-03-11T09:50:39.977,2020-03-11T09:50:39.977,2,
27772,2,27550,2015-02-16T17:34:08.627,1,,27062,,2015-02-16T17:34:08.627,,0,
27838,2,27831,2015-02-18T14:34:10.223,2,,5538,,2015-02-18T14:40:00.657,2015-02-18T14:40:00.657,0,
27843,2,27835,2015-02-18T20:41:33.150,1,,894,,2015-02-18T20:57:08.917,2020-06-16T10:47:29.480,1,
27862,2,14611,2015-02-19T10:21:53.580,5,,27195,,2018-03-21T10:00:32.410,2018-03-21T10:00:32.410,4,
27998,2,3469,2015-02-23T05:11:27.247,0,,20527,,2015-02-23T05:11:27.247,,0,
28060,2,28042,2015-02-25T04:17:05.637,3,,27382,,2015-02-25T04:17:05.637,2017-05-23T12:37:05.627,0,
28085,2,23836,2015-02-26T01:07:43.783,1,,27436,,2015-02-26T01:07:43.783,,0,
28127,2,28125,2015-02-27T08:14:06.993,2,,13650,,2015-02-27T08:14:06.993,,0,
28178,2,28176,2015-02-28T22:20:52.723,1,,22454,,2015-02-28T23:20:10.250,2017-05-23T12:37:05.627,14,
28343,2,28340,2015-03-05T15:20:36.313,3,,22699,,2015-03-05T15:20:36.313,,2,
28749,2,19902,2015-03-16T21:07:42.910,1,,28068,,2015-03-16T21:07:42.910,,0,
28820,2,28754,2015-03-19T07:45:19.890,12,,28136,,2015-03-19T07:45:19.890,,2,
28897,2,28881,2015-03-22T04:22:56.273,1,,26951,,2015-03-22T04:22:56.273,,1,
29022,2,28949,2015-03-25T19:29:24.940,0,,25964,,2015-03-25T21:17:18.577,2017-04-13T12:56:25.647,7,
29078,2,29074,2015-03-27T15:31:46.307,2,,5538,,2015-03-28T12:42:13.390,2017-04-13T12:56:25.953,0,
29143,2,12424,2015-03-30T03:42:12.253,-1,,28497,,2015-03-30T05:25:07.017,2015-03-30T05:25:07.017,2,
29160,2,29159,2015-03-30T17:33:28.300,1,,13650,,2015-03-30T21:00:34.507,2015-03-30T21:00:34.507,17,
29161,2,29159,2015-03-30T17:52:08.673,0,,5538,,2015-03-30T18:04:20.223,2015-03-30T18:04:20.223,0,
29423,2,29402,2015-04-08T05:43:31.377,1,,13304,,2015-04-10T01:27:47.487,2015-04-10T01:27:47.487,2,
